x,y
400,120
400,120
400,120
400,120
400,120
400,120
400,120
400,120
400,120
400,120
400,120
400,120
400,120
400,120
400,120
400,120
400,120
404,120
408,120
412,120
416,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,120
420,124
420,128
420,132
420,136
420,140
420,144
420,148
420,152
420,156
420,160
420,160
420,160
420,160
420,160
420,160
420,160
420,160
420,160
420,160
420,160
420,160
420,160
420,160
420,160
420,160
420,160
420,160
420,160
420,160
420,160
416,160
412,160
408,160
404,160
400,160
396,160
392,160
388,160
384,160
380,160
376,160
372,160
368,160
364,160
360,160
356,160
352,160
348,160
344,160
340,160
336,160
332,160
328,160
324,160
320,160
316,160
312,160
308,160
304,160
300,160
300,160
300,160
300,160
300,160
300,160
300,160
300,164
300,168
300,172
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
300,176
304,176
308,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
312,176
308,176
304,176
300,176
296,176
292,176
288,176
284,176
280,176
276,176
272,176
268,176
264,176
260,176
256,176
252,176
248,176
244,176
240,176
236,176
232,176
228,176
224,176
220,176
216,176
212,176
208,176
208,180
208,184
208,188
208,192
208,192
208,192
208,192
208,192
208,192
208,192
208,192
208,192
208,192
208,192
208,192
208,192
